credit_card,cpu,purchase_date
2044-2080-4833-8402,Intel Core i9-5697K,2017-12-24
3319-7437-8135-1940,AMD Ryzen 8 9498X,2020-08-10
1934-4451-1238-2238,Intel Core i7-8593K,2018-01-12
1244-3815-5186-4227,AMD Ryzen 8 7925X,2017-12-11
6191-5270-5274-5262,Intel Core i9-9278K,2019-08-31
3677-7436-9606-5836,AMD Ryzen 9 1652X,2020-01-23
9694-4357-5023-8714,Intel Core i4-5622K,2019-07-20
5545-1670-7124-3464,AMD Ryzen 4 4660X,2020-02-22
3513-7827-5155-4138,Intel Core i7-5483K,2020-01-30
9625-6437-8757-7563,AMD Ryzen 6 4585X,2019-02-15
1229-1164-3381-6939,Intel Core i8-8445K,2020-05-12
1874-3085-4726-6955,AMD Ryzen 7 2359X,2020-04-04
3059-6633-6813-1650,Intel Core i5-5203K,2020-09-13
6074-1396-6465-2504,AMD Ryzen 3 1885X,2019-05-04
6632-3994-4370-4929,Intel Core i3-2474K,2019-01-17
6979-3347-2306-2597,AMD Ryzen 7 4664X,2020-04-27
3044-9748-5855-7834,Intel Core i5-4534K,2018-05-19
4007-4380-8312-2954,AMD Ryzen 7 9762X,2019-10-12
5597-4259-9929-3289,Intel Core i8-9991K,2019-03-21
7685-4964-5816-1264,AMD Ryzen 1 5819X,2019-04-28
8530-9720-1223-6842,Intel Core i5-5699K,2018-02-06
7789-3655-8547-2536,AMD Ryzen 3 1824X,2018-11-29
7272-5144-9722-9412,Intel Core i1-5325K,2020-10-20
4933-7519-7908-5270,AMD Ryzen 6 2951X,2019-01-18
8333-9128-2573-1197,Intel Core i1-1452K,2020-07-30
6360-5652-6444-3852,AMD Ryzen 4 1591X,2019-04-15
9006-7007-8121-8565,Intel Core i5-3600K,2020-10-16
8692-6402-2445-2659,AMD Ryzen 1 1502X,2020-03-06
8469-5425-4132-3182,Intel Core i4-5841K,2018-03-29
3210-7450-9915-3770,AMD Ryzen 4 2599X,2018-11-17
3620-8961-7187-7524,Intel Core i9-5487K,2020-06-20
9469-1542-6875-1604,AMD Ryzen 1 8536X,2019-05-29
9431-4512-6371-6391,Intel Core i5-8947K,2019-02-19
3205-4647-2736-2315,AMD Ryzen 3 2363X,2019-10-11
6205-4550-1397-4815,Intel Core i7-6112K,2019-08-16
7217-2616-3989-6568,AMD Ryzen 1 1280X,2019-07-12
1966-3411-3127-2230,Intel Core i9-1982K,2018-07-06
1459-5880-5788-7845,AMD Ryzen 2 9638X,2018-12-21
7010-8105-8230-2913,Intel Core i5-5904K,2018-04-19
5920-9838-2919-5800,AMD Ryzen 5 8359X,2018-06-11
1935-2200-2639-9374,Intel Core i9-2107K,2020-03-01
1191-3816-9940-8385,AMD Ryzen 7 6238X,2020-06-06
4225-3925-2306-7514,Intel Core i5-4842K,2018-07-10
2151-5801-5794-5926,AMD Ryzen 9 4545X,2017-10-26
5170-6613-3093-2490,Intel Core i1-7498K,2019-09-10
3301-9719-7152-2725,AMD Ryzen 2 1870X,2019-05-05
4728-2853-3822-2916,Intel Core i3-5881K,2019-08-20
3605-5649-4070-3935,AMD Ryzen 3 7694X,2018-12-10
6819-4256-3994-8157,Intel Core i9-9619K,2018-06-25
8810-1158-9232-9207,AMD Ryzen 1 9312X,2019-02-19
3565-1276-6042-8419,Intel Core i4-4843K,2018-08-10
5859-9250-4741-1202,AMD Ryzen 9 1191X,2020-09-13
5577-4219-2670-2456,Intel Core i7-4595K,2020-07-10
3235-9463-8476-5482,AMD Ryzen 6 3363X,2020-08-27
1580-9950-1071-9431,Intel Core i6-3475K,2018-05-08
1607-5487-1784-2370,AMD Ryzen 4 9885X,2018-01-06
8025-7634-2337-3127,Intel Core i3-6818K,2018-01-12
8722-1212-3044-4956,AMD Ryzen 4 6376X,2020-04-16
1398-3236-5509-2013,Intel Core i4-2734K,2018-07-10
7789-8878-3918-8456,AMD Ryzen 5 2764X,2020-03-18
2407-7534-5378-7845,Intel Core i9-6378K,2020-01-31
8556-5033-9754-7958,AMD Ryzen 4 8193X,2020-02-22
7328-7078-7143-1667,Intel Core i2-7262K,2018-06-12
4448-2422-4638-7939,AMD Ryzen 5 1230X,2018-01-22
8494-8231-4871-8618,Intel Core i9-3599K,2020-04-01
4927-4341-3324-7978,AMD Ryzen 2 8988X,2019-01-22
7105-3301-8860-1629,Intel Core i7-7751K,2019-04-21
2824-3600-6443-6769,AMD Ryzen 9 8721X,2019-10-07
6394-5327-7129-1069,Intel Core i5-8284K,2019-05-10
4950-7370-3897-5986,AMD Ryzen 1 5456X,2019-02-11
2971-9478-4634-6152,Intel Core i9-9812K,2018-11-22
7601-7808-9691-1241,AMD Ryzen 3 9386X,2018-02-09
3074-2690-1579-8719,Intel Core i3-8635K,2018-08-26
3986-5401-2447-9593,AMD Ryzen 4 9806X,2020-07-30
9527-6179-3377-6909,Intel Core i2-3759K,2019-04-24
8723-4397-3832-6222,AMD Ryzen 2 5398X,2018-02-06
2817-3558-4033-8215,Intel Core i8-6707K,2020-07-21
2076-2335-8720-6447,AMD Ryzen 5 4426X,2018-02-08
3639-2650-4030-1425,Intel Core i3-8629K,2020-03-15
2236-2782-7791-6093,AMD Ryzen 4 9453X,2018-11-07
9391-3310-6786-6461,Intel Core i5-5279K,2019-09-08
2646-1786-7730-2165,AMD Ryzen 1 4340X,2020-02-08
6473-6022-6690-9449,Intel Core i5-4956K,2020-09-12
8828-9420-7525-1261,AMD Ryzen 3 1880X,2018-10-25
2745-3785-5373-7885,Intel Core i1-1822K,2020-03-30
3540-8610-6613-7269,AMD Ryzen 4 8683X,2020-06-13
4016-1125-8409-1441,Intel Core i9-6676K,2018-12-09
2646-1291-2924-7994,AMD Ryzen 5 2334X,2020-02-29
3041-9650-9259-4458,Intel Core i1-2310K,2020-08-30
8904-4339-6888-4494,AMD Ryzen 6 9517X,2019-01-13
5463-8155-8808-2182,Intel Core i9-8985K,2018-01-06
6415-9696-8507-8281,AMD Ryzen 2 2859X,2019-12-10
3620-3746-4270-4417,Intel Core i9-4675K,2019-08-20
6754-4324-9996-7299,AMD Ryzen 9 9853X,2020-08-07
1685-3860-1805-4395,Intel Core i1-5683K,2019-03-30
7043-4726-9928-7286,AMD Ryzen 6 5301X,2019-10-17
3908-3398-9982-9994,Intel Core i4-9404K,2020-05-09
7893-4488-3316-3151,AMD Ryzen 4 1742X,2020-10-07
1074-1915-5961-6542,Intel Core i6-1161K,2018-01-15
6938-1877-3465-4830,AMD Ryzen 3 8295X,2019-05-24
3546-1208-2476-6690,Intel Core i1-2221K,2019-03-24
9134-3493-9700-9430,AMD Ryzen 1 2915X,2019-11-03
4777-3856-3085-5899,Intel Core i1-5794K,2019-11-22
9193-4160-6220-4261,AMD Ryzen 6 8379X,2019-01-02
8128-5027-7630-8649,Intel Core i4-6717K,2020-02-01
6172-8491-3153-5594,AMD Ryzen 2 3723X,2019-11-17
9031-9330-2257-2303,Intel Core i4-5684K,2017-10-22
2613-3085-1539-5784,AMD Ryzen 3 6286X,2019-05-23
6383-4943-3396-3058,Intel Core i1-7168K,2018-11-16
2850-7839-5533-1142,AMD Ryzen 2 6463X,2020-04-12
5644-1324-9385-9133,Intel Core i9-6592K,2020-04-11
8497-3068-1254-2348,AMD Ryzen 1 7195X,2020-07-22
9078-7255-1821-4206,Intel Core i2-4961K,2019-10-21
2618-9359-6186-6110,AMD Ryzen 9 7996X,2018-07-31
9135-9637-7378-7621,Intel Core i1-3694K,2018-10-11
5353-7599-5387-3132,AMD Ryzen 3 6244X,2019-06-14
5341-8291-1849-7089,Intel Core i2-8966K,2019-08-29
1927-7433-1290-8409,AMD Ryzen 1 5100X,2019-03-04
1334-7595-1780-9633,Intel Core i7-5969K,2020-09-11
8504-5749-9729-8192,AMD Ryzen 7 7529X,2018-12-20
3813-4645-7059-1168,Intel Core i1-4918K,2018-04-03
9293-8302-8618-9165,AMD Ryzen 4 8265X,2019-04-02
7238-6507-9873-9871,Intel Core i5-3304K,2018-04-14
4257-4980-4879-9987,AMD Ryzen 8 7939X,2018-03-11
5235-4241-2702-5011,Intel Core i4-1966K,2018-04-04
3696-4302-3170-3241,AMD Ryzen 2 8493X,2018-11-24
9112-5455-8655-7751,Intel Core i3-6611K,2019-08-29
4482-1704-1874-1477,AMD Ryzen 1 7102X,2018-10-20
8961-9791-1890-2164,Intel Core i8-6686K,2018-07-23
7372-7108-1503-9077,AMD Ryzen 4 1943X,2020-02-15
5790-9304-2824-4939,Intel Core i2-1754K,2020-09-13
6307-5118-6322-4667,AMD Ryzen 6 1788X,2018-07-20
4893-7273-6350-9637,Intel Core i6-7712K,2017-10-27
9040-2631-1855-7402,AMD Ryzen 2 1861X,2019-12-10
8036-9991-7973-3455,Intel Core i7-8485K,2020-02-27
1707-6619-1675-2225,AMD Ryzen 9 7770X,2019-01-10
7752-1948-9923-5055,Intel Core i1-8215K,2020-07-12
8733-3909-8853-2278,AMD Ryzen 9 3606X,2018-06-29
9743-5287-4530-4276,Intel Core i7-3165K,2019-04-06
4069-2848-4945-7915,AMD Ryzen 2 7371X,2020-03-30
5252-4326-1537-7200,Intel Core i1-2243K,2018-08-17
3250-8856-1359-7391,AMD Ryzen 7 1520X,2020-04-27
6265-4703-7322-4123,Intel Core i9-1360K,2020-10-05
4826-2076-9019-7761,AMD Ryzen 9 9507X,2018-04-28
6002-4113-3420-8569,Intel Core i3-8275K,2018-07-05
9971-5681-7102-6919,AMD Ryzen 6 9863X,2019-02-21
2559-1724-9700-2889,Intel Core i8-3102K,2017-11-04
8864-8245-1992-6298,AMD Ryzen 7 3153X,2019-04-04
5881-2654-6159-9302,Intel Core i8-5268K,2019-10-28
1159-8651-8238-2666,AMD Ryzen 1 5913X,2018-08-09
6167-9372-7304-4604,Intel Core i3-1535K,2019-09-16
3970-8525-3179-3650,AMD Ryzen 2 5241X,2018-01-14
8609-2473-7697-6345,Intel Core i3-3321K,2020-05-01
9681-7632-9367-5826,AMD Ryzen 3 6178X,2019-11-04
3032-1426-4189-7895,Intel Core i5-4159K,2020-03-18
2391-6997-7188-7729,AMD Ryzen 9 6546X,2018-05-17
9526-2898-6289-2282,Intel Core i6-6309K,2017-11-16
6226-2529-6983-8387,AMD Ryzen 5 6819X,2020-03-05
1344-8943-9138-8383,Intel Core i3-3449K,2019-01-21
1156-7526-8582-4853,AMD Ryzen 6 8261X,2019-12-20
3838-9398-1341-5323,Intel Core i4-4281K,2018-07-24
1698-8574-7002-7505,AMD Ryzen 3 4557X,2020-01-09
7131-3361-8934-8573,Intel Core i2-5417K,2020-04-24
8876-4594-9646-7881,AMD Ryzen 4 7652X,2018-04-02
5703-6479-5648-5297,Intel Core i5-4147K,2018-06-11
4708-1874-9088-9287,AMD Ryzen 4 1656X,2019-12-03
6798-2238-2260-6116,Intel Core i4-7753K,2020-06-18
8022-3620-4714-8103,AMD Ryzen 1 1768X,2019-02-16
4297-2422-5355-7775,Intel Core i8-1904K,2020-04-04
8587-9661-4547-4342,AMD Ryzen 7 3321X,2019-01-30
9366-7416-1606-8895,Intel Core i1-6134K,2018-01-03
1066-3192-4355-1852,AMD Ryzen 9 2845X,2019-06-19
2837-7033-9355-3695,Intel Core i5-1674K,2018-07-07
3466-2111-9052-8057,AMD Ryzen 2 2833X,2018-05-30
3057-9614-7233-9640,Intel Core i4-4237K,2019-05-27
7732-1610-4814-3038,AMD Ryzen 7 6263X,2020-07-31
1207-2942-8182-9801,Intel Core i8-2234K,2020-07-29
9845-8927-1582-4257,AMD Ryzen 7 3934X,2017-11-04
4419-6540-1478-4129,Intel Core i1-6966K,2019-11-05
2043-8407-2996-5301,AMD Ryzen 3 6994X,2019-08-24
3776-1170-1425-6712,Intel Core i8-3957K,2019-07-15
8586-3856-4788-6744,AMD Ryzen 6 5322X,2020-05-22
1330-7082-8514-5124,Intel Core i8-2369K,2020-03-22
5633-4369-2753-4027,AMD Ryzen 6 6778X,2020-06-29
7082-7098-7215-5164,Intel Core i5-4815K,2020-07-09
5258-6340-1103-2103,AMD Ryzen 5 6131X,2017-11-15
4181-6420-8186-5253,Intel Core i6-5500K,2017-12-07
4744-7289-8921-5283,AMD Ryzen 5 4357X,2020-04-13
2987-3204-3939-6741,Intel Core i7-1670K,2018-07-03
9302-6955-7255-3019,AMD Ryzen 8 4556X,2020-10-08
7205-4783-9695-8229,Intel Core i8-5609K,2018-12-23
1569-1895-4975-2147,AMD Ryzen 5 1804X,2019-07-13
3034-9615-5752-1689,Intel Core i6-1623K,2018-08-15
5662-7361-4886-3925,AMD Ryzen 1 5661X,2020-04-27
3258-1152-3316-9758,Intel Core i4-2688K,2019-12-23
3052-4572-3125-2837,AMD Ryzen 1 6833X,2020-05-07
2610-6218-1293-4545,Intel Core i1-4402K,2019-11-11
7726-7849-4378-6660,AMD Ryzen 1 5595X,2019-06-04
3966-1442-5742-4674,Intel Core i6-8480K,2018-10-24
8855-5821-8472-7029,AMD Ryzen 9 1941X,2019-04-04
8134-9776-7167-7931,Intel Core i6-9949K,2020-02-07
2287-1726-5916-7184,AMD Ryzen 5 4726X,2018-10-04
3235-4268-4073-3923,Intel Core i5-4431K,2019-05-02
5955-7029-1702-4694,AMD Ryzen 7 5265X,2020-03-31
4214-3414-3366-1484,Intel Core i3-1856K,2020-04-13
1333-2978-8669-7102,AMD Ryzen 7 7860X,2017-12-16
8018-6068-5282-1264,Intel Core i9-5915K,2020-03-25
1308-9598-3379-5923,AMD Ryzen 7 9552X,2017-11-02
2926-9639-3567-9407,Intel Core i2-4161K,2018-06-05
5553-5190-3718-7679,AMD Ryzen 7 8509X,2017-11-10
2311-6644-3961-8275,Intel Core i9-9201K,2018-05-13
9811-3651-6741-9658,AMD Ryzen 8 9523X,2018-09-03
9868-6473-6568-6561,Intel Core i1-3116K,2018-12-17
4975-7104-3802-4278,AMD Ryzen 5 6219X,2018-11-04
2175-9702-2239-4419,Intel Core i9-8161K,2018-02-15
1793-6451-9048-9034,AMD Ryzen 4 9738X,2019-11-20
1301-1556-6934-7077,Intel Core i1-2197K,2019-07-24
6300-8974-4293-1472,AMD Ryzen 8 8428X,2018-01-21
3445-8580-5715-7016,Intel Core i3-4446K,2019-09-24
9680-9212-9551-2038,AMD Ryzen 7 5721X,2019-05-18
7263-9844-6490-2424,Intel Core i6-8865K,2020-10-10
5576-1301-3101-2977,AMD Ryzen 5 1590X,2017-10-26
2836-1287-8699-2202,Intel Core i8-6978K,2020-06-19
6103-4974-1023-3659,AMD Ryzen 8 6419X,2018-09-17
2831-8263-8651-2412,Intel Core i1-7916K,2018-07-22
7534-1327-1771-4369,AMD Ryzen 3 4665X,2020-06-05
2685-6646-1262-1959,Intel Core i1-6284K,2020-03-29
5387-2100-3159-6361,AMD Ryzen 3 3848X,2018-09-03
5634-2558-7556-6550,Intel Core i8-5707K,2020-09-29
4896-8701-4815-1374,AMD Ryzen 1 6577X,2019-04-15
5142-2409-3150-8539,Intel Core i6-8357K,2017-12-04
9766-1978-5868-3523,AMD Ryzen 8 9803X,2019-01-23
1118-1405-2609-6420,Intel Core i5-4813K,2018-06-18
7542-5205-6525-7195,AMD Ryzen 9 1335X,2020-01-04
7153-7575-9149-1849,Intel Core i2-3691K,2020-05-17
8900-6233-4801-3869,AMD Ryzen 2 8644X,2019-11-20
8779-4820-7676-4098,Intel Core i4-8483K,2019-06-09
7426-2322-4005-8507,AMD Ryzen 1 9663X,2018-03-08
1043-1230-9368-3127,Intel Core i1-7581K,2018-05-04
1136-5165-9749-7898,AMD Ryzen 3 2435X,2019-10-24
6140-7998-9749-9287,Intel Core i1-4909K,2018-02-18
5049-2415-5191-3024,AMD Ryzen 2 5649X,2019-02-02
8061-6666-9067-1692,Intel Core i2-5960K,2020-08-18
5287-7809-2212-6168,AMD Ryzen 2 3889X,2018-08-01
7222-7186-9652-7219,Intel Core i3-5272K,2019-11-30
1142-7076-5631-3919,AMD Ryzen 5 2972X,2019-10-29
5249-3925-3046-4414,Intel Core i8-4300K,2019-01-18
9820-8903-6203-2404,AMD Ryzen 6 3625X,2018-01-14
4806-3832-3504-4082,Intel Core i9-5779K,2019-10-31
6350-1391-5410-9084,AMD Ryzen 5 7296X,2019-01-20
8267-1913-9959-5333,Intel Core i2-6861K,2018-01-01
8038-7786-9016-5863,AMD Ryzen 4 7720X,2019-05-03
1632-3496-2694-5963,Intel Core i3-9309K,2018-02-02
9895-2493-1052-5470,AMD Ryzen 7 4285X,2018-02-19
7133-6209-1638-6013,Intel Core i6-9526K,2019-04-21
6467-5818-4825-7675,AMD Ryzen 9 2850X,2020-01-17
2977-7882-8792-7071,Intel Core i6-9800K,2019-08-16
7581-4391-1611-5205,AMD Ryzen 5 5952X,2017-12-19
3101-6041-3274-2786,Intel Core i5-6640K,2018-04-11
3601-6447-4796-7939,AMD Ryzen 6 5457X,2020-09-11
3325-1732-4568-6160,Intel Core i8-1309K,2020-03-03
8305-9593-4031-4725,AMD Ryzen 5 2492X,2020-07-28
6358-6613-2054-6137,Intel Core i7-7431K,2018-07-12
4184-5611-1119-2574,AMD Ryzen 1 2992X,2018-05-08
3091-6744-1365-2252,Intel Core i7-9356K,2017-12-28
1824-7887-3749-2201,AMD Ryzen 3 7632X,2018-10-10
2568-8415-5553-9708,Intel Core i1-5118K,2020-08-29
3407-1494-1380-1038,AMD Ryzen 3 8260X,2019-08-03
4162-1793-2926-2131,Intel Core i3-4261K,2018-01-06
4644-7530-4229-1667,AMD Ryzen 5 4128X,2018-02-16
6258-5540-7119-3347,Intel Core i3-9684K,2019-01-28
7801-9616-4433-6180,AMD Ryzen 3 3107X,2017-12-31
8023-3055-5126-4061,Intel Core i4-9499K,2019-07-26
2548-2673-5423-7876,AMD Ryzen 1 5846X,2019-05-17
4425-2843-7332-7308,Intel Core i7-2647K,2019-03-22
6777-2656-5383-6580,AMD Ryzen 9 4873X,2019-12-29
3906-1670-9001-1217,Intel Core i3-1382K,2020-05-23
8566-8423-6640-8781,AMD Ryzen 7 8317X,2020-05-24
5369-7339-2464-6322,Intel Core i5-2883K,2020-05-26
8814-9099-5929-9078,AMD Ryzen 5 4518X,2019-01-24
7113-7357-5890-5122,Intel Core i7-9436K,2019-06-13
7431-7163-4468-1564,AMD Ryzen 9 5813X,2018-11-19
6999-5219-5054-2552,Intel Core i6-2621K,2019-06-15
7215-4631-2576-5582,AMD Ryzen 5 5111X,2017-11-14
8683-7825-7409-1532,Intel Core i9-5605K,2020-03-02
1188-5344-7869-5962,AMD Ryzen 2 4560X,2020-02-09
2015-3109-5041-8116,Intel Core i4-5597K,2017-10-21
8838-6963-1806-6648,AMD Ryzen 3 9485X,2019-10-14
2757-9135-5808-5662,Intel Core i4-5575K,2018-10-08
2432-3524-6693-4304,AMD Ryzen 3 8559X,2020-03-03
6746-2748-9336-4231,Intel Core i7-8340K,2018-02-06
6439-2573-9007-2315,AMD Ryzen 9 9361X,2019-05-28
3180-6878-8611-7516,Intel Core i6-6906K,2020-02-07
5843-6384-1397-5757,AMD Ryzen 5 6303X,2020-10-13
1870-9373-8797-2894,Intel Core i1-8671K,2019-04-25
2771-9990-9428-3211,AMD Ryzen 8 6609X,2018-12-11
5654-8003-3565-2533,Intel Core i5-8103K,2020-08-26
9557-1313-5496-6620,AMD Ryzen 4 6437X,2020-02-16
3896-3847-3493-2448,Intel Core i7-7134K,2017-12-14
5465-4417-2449-8667,AMD Ryzen 8 4991X,2018-01-05
5099-9773-1885-5349,Intel Core i5-9676K,2019-03-13
9163-8483-5629-6345,AMD Ryzen 4 1237X,2020-04-14
3730-5839-6483-5684,Intel Core i9-1268K,2020-08-15
3818-2456-7540-8313,AMD Ryzen 9 6481X,2019-10-15
8964-6641-8082-5997,Intel Core i3-2670K,2019-02-15
8586-5886-5907-3639,AMD Ryzen 1 8714X,2019-03-05
9421-7207-6539-2565,Intel Core i7-8150K,2018-07-12
9387-6899-6882-1527,AMD Ryzen 3 9724X,2018-06-23
1350-4127-7563-7528,Intel Core i4-8363K,2019-04-09
7082-3682-3571-5752,AMD Ryzen 7 3850X,2019-11-28
4328-5746-9186-3367,Intel Core i5-3708K,2018-03-15
1093-7293-9474-9667,AMD Ryzen 4 5951X,2019-05-04
3232-2201-4715-5084,Intel Core i9-2732K,2018-09-30
1882-4924-4042-7380,AMD Ryzen 9 7287X,2019-02-23
6711-1469-6065-8773,Intel Core i2-2424K,2018-01-10
1337-7773-2448-2079,AMD Ryzen 9 6694X,2020-07-06
7287-3406-9725-8956,Intel Core i4-8818K,2019-02-07
2063-8891-3257-3426,AMD Ryzen 5 8567X,2017-11-01
2817-2989-8884-4732,Intel Core i1-6503K,2019-12-29
9470-7646-2908-5242,AMD Ryzen 6 7683X,2019-01-06
1974-3874-4992-2883,Intel Core i4-2853K,2018-04-14
4149-8808-8833-3826,AMD Ryzen 1 1599X,2019-05-07
4265-4065-7200-1276,Intel Core i5-5458K,2018-01-11
8675-9523-6459-6276,AMD Ryzen 1 2276X,2018-05-14
7911-9370-2078-4830,Intel Core i1-6817K,2020-03-30
4764-6635-3011-9715,AMD Ryzen 6 4818X,2017-12-07
4934-5675-8665-5825,Intel Core i4-4617K,2018-12-18
3076-7910-5802-2216,AMD Ryzen 9 4293X,2018-10-09
3588-5886-7218-6077,Intel Core i2-3481K,2019-04-23
6023-6160-5633-4715,AMD Ryzen 9 4651X,2020-01-31
8188-3310-1517-3603,Intel Core i2-8598K,2017-11-18
1451-9194-9678-4196,AMD Ryzen 9 7901X,2020-05-22
4410-5541-5578-9248,Intel Core i8-5661K,2019-01-28
7974-6010-4561-1253,AMD Ryzen 6 3109X,2020-02-13
6487-1093-8630-1571,Intel Core i1-7888K,2020-09-13
6537-8589-3670-4273,AMD Ryzen 2 7122X,2019-06-02
2767-3942-3262-2687,Intel Core i4-4676K,2020-08-08
3357-1984-8433-7941,AMD Ryzen 3 5795X,2020-02-14
4030-8905-5800-9076,Intel Core i7-8946K,2020-07-04
5018-4127-2237-3823,AMD Ryzen 5 3208X,2019-06-20
3379-3865-3370-1017,Intel Core i6-6827K,2020-06-17
6139-1844-7846-8273,AMD Ryzen 1 6294X,2019-09-16
4665-5448-9982-3936,Intel Core i1-2106K,2019-02-26
8673-3678-6913-1895,AMD Ryzen 3 7626X,2017-11-02
2061-6218-1879-4318,Intel Core i9-5592K,2020-08-15
4120-1390-6316-4597,AMD Ryzen 5 6810X,2018-05-08
7890-1177-6021-5569,Intel Core i9-5288K,2019-01-20
3143-9752-6523-4155,AMD Ryzen 6 4556X,2018-08-13
9234-2855-5628-8834,Intel Core i2-8853K,2019-04-20
1908-9890-4134-3382,AMD Ryzen 9 2434X,2019-04-12
9929-4333-8519-3948,Intel Core i3-8349K,2020-06-21
3665-5096-2527-6099,AMD Ryzen 5 9196X,2019-12-07
7883-7174-3189-5686,Intel Core i5-2262K,2019-01-05
7250-4233-3345-3801,AMD Ryzen 7 5793X,2019-07-26
7486-7558-2304-3080,Intel Core i8-8344K,2020-10-05
1462-9492-6407-9809,AMD Ryzen 9 3596X,2018-03-19
5925-9668-3414-1638,Intel Core i1-4434K,2019-09-21
7638-5307-6790-7303,AMD Ryzen 6 4862X,2018-05-30
1251-9103-3401-3222,Intel Core i3-5526K,2018-10-06
5435-5857-8666-5687,AMD Ryzen 2 7786X,2019-06-07
5105-6631-9030-5727,Intel Core i9-4383K,2020-01-31
3089-7495-2257-6836,AMD Ryzen 3 3633X,2019-03-17
7771-3787-3539-1763,Intel Core i9-7577K,2020-09-01
9382-6928-9093-1518,AMD Ryzen 6 6288X,2020-09-06
5488-1322-4901-2299,Intel Core i6-5436K,2019-01-30
3429-4551-3779-8491,AMD Ryzen 8 6955X,2018-11-10
3637-6057-4382-6347,Intel Core i9-4131K,2020-04-19
3650-7930-7642-5577,AMD Ryzen 5 7602X,2020-09-18
4228-1257-6510-7009,Intel Core i5-6922K,2019-08-30
9796-6816-5985-1910,AMD Ryzen 7 2930X,2017-11-23
7374-9397-6809-2098,Intel Core i7-9208K,2018-01-29
6316-1890-5039-6973,AMD Ryzen 9 3561X,2018-10-13
8867-5323-4777-1243,Intel Core i2-5895K,2019-06-03
2958-5980-8949-4378,AMD Ryzen 4 4568X,2020-10-13
3736-1854-1603-4025,Intel Core i8-1791K,2018-09-12
1278-5731-9874-1460,AMD Ryzen 7 5134X,2018-06-23
5795-5568-6727-5083,Intel Core i5-2551K,2018-01-06
8773-3862-4065-2696,AMD Ryzen 4 6330X,2018-03-01
1299-3093-7968-7238,Intel Core i9-4185K,2019-05-07
8749-5863-8433-2304,AMD Ryzen 9 6467X,2019-05-22
3215-3684-3054-8271,Intel Core i1-4285K,2018-04-06
1073-4690-2943-3220,AMD Ryzen 7 7338X,2020-08-30
9638-8406-4737-1066,Intel Core i9-7987K,2018-08-07
7583-8727-5605-5015,AMD Ryzen 9 8319X,2020-08-11
5098-1056-8467-2132,Intel Core i9-9172K,2020-05-09
1657-3606-8853-7885,AMD Ryzen 8 7958X,2020-08-14
1091-2489-1162-8036,Intel Core i5-1881K,2018-01-20
6024-8038-2222-8824,AMD Ryzen 3 7613X,2020-07-14
3372-7031-9601-2851,Intel Core i3-9452K,2018-02-18
4362-3231-1355-8269,AMD Ryzen 8 5451X,2017-11-25
7910-8732-7232-8316,Intel Core i6-5318K,2019-07-24
3592-1198-5800-7341,AMD Ryzen 7 2802X,2018-10-20
5884-7213-1663-4064,Intel Core i9-1397K,2020-10-17
9892-8282-9764-5078,AMD Ryzen 1 4527X,2018-02-02
7736-2268-4397-3682,Intel Core i9-2886K,2020-03-06
4626-5123-5815-3997,AMD Ryzen 6 9669X,2020-08-28
1322-8698-1863-2208,Intel Core i7-8957K,2019-08-26
8500-9954-8653-8065,AMD Ryzen 1 5760X,2019-12-01
9391-1837-1141-9862,Intel Core i6-6262K,2018-11-30
4869-4693-4575-8949,AMD Ryzen 4 5736X,2018-04-13
5582-3122-2747-3576,Intel Core i5-7673K,2017-11-16
6279-1787-8537-7902,AMD Ryzen 7 2811X,2020-02-10
5554-4717-2963-5108,Intel Core i8-7867K,2018-03-28
6765-7873-5234-1126,AMD Ryzen 8 8732X,2018-08-22
2611-3676-6371-1659,Intel Core i4-3205K,2020-03-24
4123-3046-9519-4236,AMD Ryzen 3 1573X,2020-06-15
7922-2127-3517-2926,Intel Core i3-8343K,2020-06-26
5835-9829-7879-9461,AMD Ryzen 6 1755X,2018-02-19
8694-1325-4024-2123,Intel Core i4-1146K,2019-05-31
7686-7338-8015-9659,AMD Ryzen 5 9241X,2020-07-20
9041-3141-1249-4929,Intel Core i1-5489K,2018-12-07
9012-8785-1002-3397,AMD Ryzen 3 4633X,2018-02-14
8827-4317-6300-1881,Intel Core i4-4671K,2019-03-11
2017-1273-4672-4609,AMD Ryzen 3 1536X,2020-05-14
5761-9039-1502-1373,Intel Core i8-9278K,2018-04-15
1330-3442-5752-1683,AMD Ryzen 9 4773X,2019-01-28
6735-5821-7981-3003,Intel Core i8-1542K,2018-10-18
1857-1487-5912-3060,AMD Ryzen 5 9153X,2018-10-29
5781-7764-4076-5520,Intel Core i4-9435K,2019-09-18
6539-2880-7611-7232,AMD Ryzen 6 3205X,2018-05-08
5267-2976-8488-2424,Intel Core i9-3298K,2019-11-09
5886-8448-5462-9696,AMD Ryzen 6 4948X,2020-08-10
8347-1042-9717-4915,Intel Core i7-1581K,2019-03-08
1656-8096-4810-9829,AMD Ryzen 3 3386X,2019-01-20
8367-7284-5788-9420,Intel Core i2-9625K,2018-08-29
5533-1226-7503-6696,AMD Ryzen 9 2357X,2019-08-24
7819-6080-9239-3339,Intel Core i8-4761K,2018-01-12
4642-3529-8175-3003,AMD Ryzen 2 2716X,2019-08-26
4195-5496-7257-2812,Intel Core i4-2881K,2018-05-05
7523-5823-7158-9292,AMD Ryzen 7 6466X,2019-08-27
